player_name,age,height,weight,overall_rating,penalties,nb_match,aggression,preferred_foot
Lionel Messi,28,170.18,159,94,74,26,48,left
Cristiano Ronaldo,30,185.42,176,93,85,25,62,right
Luis Suarez,28,182.88,187,90,85,40,78,right
Manuel Neuer,30,193.04,203,90,37,29,29,right
Neymar,24,175.26,150,90,81,25,56,right
Arjen Robben,32,180.34,176,89,80,25,47,left
Zlatan Ibrahimovic,34,195.58,209,89,91,21,84,right
Andres Iniesta,31,170.18,150,88,71,25,58,right
Eden Hazard,25,172.72,163,88,86,29,54,right
Mesut Oezil,28,182.88,168,88,76,31,54,left
Robert Lewandowski,28,185.42,174,88,77,32,80,right
Sergio Aguero,28,172.72,163,88,83,35,57,right
Thiago Silva,31,182.88,174,88,71,24,77,right
David De Gea,26,193.04,181,87,40,25,38,right
Gareth Bale,27,182.88,163,87,76,31,77,left
James Rodriguez,25,180.34,165,87,81,22,74,left
Jerome Boateng,28,193.04,198,87,46,33,82,right
Luka Modric,30,175.26,143,87,80,24,62,right
Philipp Lahm,33,170.18,146,87,71,30,58,right
Sergio Ramos,30,182.88,165,87,68,19,83,right
Toni Kroos,26,182.88,172,87,73,29,54,right
Alexis Sanchez,28,170.18,137,86,77,35,80,right
Angel Di Maria,28,180.34,165,86,73,26,76,left
Cesc Fabregas,29,175.26,163,86,80,31,45,right
David Silva,30,170.18,148,86,77,26,51,left
Diego Godin,30,185.42,161,86,50,22,84,right
Franck Ribery,33,170.18,159,86,80,24,52,right
Giorgio Chiellini,32,187.96,190,86,50,45,88,left
Gonzalo Higuain,29,182.88,181,86,70,37,50,right
Karim Benzema,28,187.96,174,86,82,22,65,right
Kevin de Bruyne,25,180.34,168,86,77,38,68,right
Marco Reus,27,180.34,165,86,84,42,47,right
Mats Hummels,28,190.5,203,86,68,30,71,right
Paul Pogba,23,190.5,185,86,76,44,74,right
Petr Cech,34,195.58,198,86,23,22,17,left
Sergio Busquets,28,187.96,168,86,60,25,86,right
Thibaut Courtois,23,198.12,194,86,27,22,23,left
Thomas Mueller,27,185.42,165,86,82,29,57,right
Xavi Hernandez,35,170.18,148,86,75,22,53,right
Andrea Barzagli,35,187.96,192,85,50,45,76,right
Arturo Vidal,29,180.34,165,85,86,41,90,right
Bastian Schweinsteiger,32,182.88,174,85,83,26,80,right
Carlos Tevez,32,172.72,157,85,82,39,86,right
David Alaba,24,180.34,168,85,80,33,69,left
Diego Costa,28,187.96,187,85,76,36,90,right
Edinson Cavani,29,182.88,157,85,82,29,82,right
Gerard Pique,28,193.04,187,85,69,21,68,right
Henrik Mkhitaryan,27,177.8,165,85,72,38,70,right
Hugo Lloris,30,187.96,172,85,40,24,31,left
Ivan Rakitic,28,182.88,172,85,78,26,67,right
Miranda,32,185.42,168,85,49,23,85,right
"Robert Enke,30",33,185.42,172,85,81,6,63,right
Santi Cazorla,32,167.64,146,85,80,39,64,right
Vincent Kompany,30,193.04,187,85,63,28,81,right
Wayne Rooney,31,175.26,183,85,81,36,89,right
Yaya Toure,33,187.96,198,85,85,37,78,right
Antoine Griezmann,25,175.26,148,84,71,36,69,left
Blaise Matuidi,28,175.26,154,84,56,25,84,left
Claudio Marchisio,30,180.34,157,84,78,53,78,right
Daniel Alves,33,172.72,154,84,70,20,85,right
Gianluigi Buffon,38,193.04,201,84,22,31,38,right
Hulk,30,180.34,187,84,78,28,84,left
Ilkay Guendogan,26,180.34,176,84,76,42,68,right
Isco,24,175.26,163,84,76,25,58,right
Javier Martinez,28,190.5,179,84,52,30,88,right
Javier Pastore,26,187.96,172,84,75,19,65,right
Joe Hart,29,195.58,201,84,68,37,28,right
John Terry,36,187.96,198,84,52,27,85,right
Jordi Alba,27,170.18,150,84,59,18,75,left
Laurent Koscielny,31,185.42,165,84,51,29,92,right
Marco Verratti,24,165.1,132,84,64,21,89,right
Mario Goetze,24,175.26,159,84,65,34,48,right
Miralem Pjanic,26,180.34,163,84,79,35,61,right
Nicolas Otamendi,28,182.88,179,84,44,31,85,right
Pepe,32,187.96,179,84,57,20,94,right
Philippe Coutinho,24,170.18,150,84,64,32,35,right
Pierre-Emerick Aubameyang,27,187.96,176,84,84,43,45,right
Samir Handanovic,32,193.04,196,84,23,33,25,right
Xabi Alonso,35,182.88,176,84,80,28,78,right
Alexandre Lacazette,25,175.26,161,83,82,32,70,right
Arda Turan,29,177.8,168,83,73,34,80,right
Aymeric Laporte,21,187.96,187,83,36,19,72,left
Benedikt Hoewedes,28,187.96,181,83,56,30,79,right
Bernd Leno,23,190.5,183,83,23,18,28,right
Carles Puyol,36,177.8,176,83,58,18,87,right
Chris Smalling,27,193.04,198,83,52,37,82,right
Christian Eriksen,24,177.8,157,83,67,33,44,right
Claudio Bravo,32,182.88,176,83,23,20,40,right
Daniel Sturridge,26,187.96,168,83,75,31,60,left
David Luiz,28,187.96,185,83,75,27,84,right
Dimitri Payet,29,175.26,170,83,76,29,55,right
Douglas Costa,26,172.72,143,83,77,19,55,left
Edwin van der Sar,41,198.12,196,83,24,8,57,right
Ezequiel Garay,29,187.96,176,83,66,30,74,right
Jackson Martinez,30,185.42,187,83,70,32,83,right
Javier Mascherano,32,175.26,161,83,64,26,89,right
Joao Moutinho,30,170.18,134,83,70,26,77,right
Jonas,32,180.34,165,83,83,35,61,right
Juan Mata,28,170.18,139,83,81,34,52,left
Koke,24,177.8,163,83,59,24,68,right
Konstantinos Manolas,25,187.96,183,83,26,24,86,right
Leonardo Bonucci,29,190.5,190,83,61,44,84,right
Luiz Gustavo,29,187.96,176,83,58,20,88,left
Mehdi Benatia,29,190.5,203,83,41,41,84,right
Nemanja Matic,28,193.04,185,83,69,28,83,left
Nicolas Gaitan,28,172.72,150,83,71,29,57,left
Nilmar,27,180.34,163,83,75,9,44,right
Pedro Rodriguez,29,167.64,137,83,66,22,56,right
Per Mertesacker,32,198.12,198,83,42,34,69,right
Radja Nainggolan,28,175.26,143,83,63,46,83,right
Ralf Faehrmann,28,195.58,209,83,21,38,36,right
Sokratis Papastathopoulos,28,185.42,187,83,51,33,88,right
